date,region,channel,revenue,spend,rating,notes
2024-01-02,north,online,216,103,4.6,
2024-01-05,south,online,133,71,4.3,
2024-01-08,east,online,180,94,3.0,
2024-01-11,north,retail,237,121,4.7,priority account
2024-01-14,south,retail,131,79,,
2024-01-17,east,retail,178,87,4.8,
2024-01-20,north,partner,235,114,4.5,
2024-01-23,south,partner,129,72,3.9,
2024-01-26,east,partner,176,95,4.6,
2024-01-03,north,online,233,122,4.3,
2024-02-02,south,online,133,68,4.3,
2024-02-05,east,online,180,91,3.0,
2024-02-08,north,retail,237,118,4.7,
2024-02-11,south,retail,154,86,,
2024-02-14,east,retail,178,99,4.8,
2024-02-17,north,partner,235,111,4.5,
2024-02-20,south,partner,152,79,4.2,
2024-02-23,east,partner,176,92,4.6,
2024-02-26,north,online,233,119,4.3,
2024-02-03,south,online,150,87,4.0,
2024-02-06,east,online,174,85,4.4,priority account
2024-02-09,north,retail,231,112,4.1,
2024-03-02,south,retail,154,83,,
2024-03-05,east,retail,178,96,4.8,
2024-03-08,north,partner,235,123,4.5,
2024-03-11,south,partner,152,76,4.2,
2024-03-14,east,partner,199,99,4.9,
2024-03-17,north,online,233,116,4.3,
2024-03-20,south,online,150,84,4.0,
2024-03-23,east,online,197,107,4.7,
2024-03-26,north,retail,231,109,4.1,
2024-03-03,south,retail,148,77,,
2024-03-06,east,retail,195,100,4.5,
2024-03-09,north,partner,229,117,3.9,
2024-03-12,south,partner,146,85,3.6,
2024-03-15,east,partner,193,93,4.3,
2024-04-02,north,online,256,123,4.6,
2024-04-05,south,online,150,81,4.0,priority account
2024-04-08,east,online,197,104,4.7,
2024-04-11,north,retail,254,131,4.4,
2024-04-14,south,retail,4980,74,,
2024-04-17,east,retail,,97,4.5,
2024-04-20,north,partner,252,124,4.2,
2024-04-23,south,partner,146,82,3.6,
2024-04-26,east,partner,193,105,4.3,
2024-04-03,north,online,250,117,4.0,
2024-04-06,south,online,144,75,3.4,
2024-04-09,east,online,191,98,4.1,
2024-04-12,north,retail,248,125,3.8,
2024-04-15,south,retail,165,93,,
2024-04-18,east,retail,189,91,3.9,
2024-04-21,north,partner,246,118,3.6,
2024-05-02,south,partner,169,89,3.9,
2024-05-05,east,partner,193,102,4.3,
2024-05-08,north,online,250,129,4.0,priority account
2024-05-11,south,online,167,82,3.7,
2024-05-14,east,online,191,95,4.1,
2024-05-17,north,retail,248,122,3.8,
2024-05-20,south,retail,165,90,,
2024-05-23,east,retail,212,113,4.2,
2024-05-26,north,partner,246,115,3.6,
2024-05-03,south,partner,163,83,3.3,
2024-05-06,east,partner,210,106,4.0,
2024-05-09,north,online,244,123,3.4,
2024-05-12,south,online,161,92,3.1,
2024-05-15,east,online,208,99,3.8,
2024-05-18,north,retail,242,117,3.2,
2024-05-21,south,retail,159,85,,
2024-05-24,east,retail,206,108,3.6,
2024-05-27,north,partner,240,125,3.0,
2024-06-02,south,partner,163,80,3.3,
2024-06-05,east,partner,210,103,4.0,priority account
2024-06-08,north,online,267,130,3.7,
2024-06-11,south,online,161,89,3.1,
2024-06-14,east,online,208,111,3.8,
2024-06-17,north,retail,265,123,3.5,
2024-06-20,south,retail,159,82,,
2024-06-23,east,retail,206,105,3.6,
2024-06-26,north,partner,263,131,3.3,
2024-06-03,south,partner,157,90,4.7,
2024-06-06,east,partner,204,98,3.4,
2024-06-09,north,online,261,125,3.1,
2024-06-12,south,online,178,93,4.8,
2024-06-15,east,online,202,106,3.2,
2024-06-18,north,retail,259,133,4.9,
2024-06-21,south,retail,176,86,,
2024-06-24,east,retail,200,99,3.0,
2024-06-27,north,partner,257,126,4.7,
2024-06-04,south,partner,174,94,4.4,priority account
2024-06-07,east,partner,198,107,4.8,
2024-02-02,south,online,133,68,4.3,
